,Price
2024-05-18,4000000.0
2024-05-19,1600000.0
2024-05-20,5200000.0
2024-05-21,6500000.0
2024-05-22,4900000.0
2024-05-23,3800000.0
2024-05-24,3400000.0
2024-05-25,2000000.0
2024-05-26,3500000.0
2024-05-27,5400000.0
2024-05-28,3000000.0
2024-05-29,3100000.0
2024-05-30,1500000.0
2024-05-31,4500000.0
2024-06-01,5500000.0
2024-06-02,2900000.0
2024-06-03,2500000.0
2024-06-04,2300000.0
2024-06-05,7000000.0
2024-06-06,8500000.0
2024-06-07,7500000.0
2024-06-08,3350000.0
2024-06-09,4000000.0
2024-06-10,5450000.0
2024-06-11,3400000.0
2024-06-12,2800000.0
2024-06-13,2100000.0
2024-06-14,5300000.0
2024-06-15,7000000.0
2024-06-16,2000000.0
2024-06-17,3000000.0
2024-06-18,7000000.0
2024-06-19,4500000.0
2024-06-20,9000000.0
2024-06-21,9900000.0
2024-06-22,9900000.0
2024-06-23,5500000.0
2024-06-24,1250000.0
2024-06-25,6500000.0
2024-06-26,3000000.0
2024-06-27,4500000.0
2024-06-28,9800000.0
2024-06-29,4000000.0
2024-06-30,1270000.0
2024-07-01,1800000.0
2024-07-02,1500000.0
2024-07-03,975000.0
2024-07-04,6000000.0
2024-07-05,2350000.0
2024-07-06,1300000.0
2024-07-07,5800000.0
2024-07-08,2100000.0
2024-07-09,1000000.0
2024-07-10,2800000.0
2024-07-11,2100000.0
2024-07-12,1700000.0
2024-07-13,6998999.999999999
2024-07-14,2800000.0
2024-07-15,7500000.0
2024-07-16,9500000.0
2024-07-17,4100000.0
2024-07-18,6000000.0
2024-07-19,5700000.0
2024-07-20,6500000.0
2024-07-21,3950000.0
2024-07-22,1500000.0
2024-07-23,3500000.0
2024-07-24,6700000.0
2024-07-25,2300000.0
2024-07-26,1300000.0
2024-07-27,5800000.0
2024-07-28,2400000.0
2024-07-29,1000000.0
2024-07-30,4000000.0
2024-07-31,3990000.0
2024-08-01,5500000.0
2024-08-02,3800000.0
2024-08-03,1650000.0
2024-08-04,4990000.0
2024-08-05,5000000.0
2024-08-06,2800000.0
2024-08-07,7000000.0
2024-08-08,7300000.0
2024-08-09,7000000.0
2024-08-10,1700000.0
2024-08-11,2400000.0
2024-08-12,5300000.0
2024-08-13,3000000.0
2024-08-14,4500000.0
2024-08-15,6900000.0
2024-08-16,3000000.0
2024-08-17,6000000.0
2024-08-18,5100000.0
2024-08-19,4000000.0
2024-08-20,1200000.0
2024-08-21,8749000.0
2024-08-22,4200000.0
2024-08-23,3200000.0
2024-08-24,5300000.0
2024-08-25,6800000.0
2024-08-26,4500000.0
2024-08-27,1300000.0
2024-08-28,3800000.0
2024-08-29,3329999.9999999995
2024-08-30,4350000.0
2024-08-31,1800000.0
2024-09-01,8000000.0
2024-09-02,2780000.0
2024-09-03,1000000.0
2024-09-04,5400000.0
2024-09-05,3600000.0
2024-09-06,6900000.0
2024-09-07,5500000.0
2024-09-08,8500000.0
2024-09-09,1500000.0
2024-09-10,4200000.0
2024-09-11,4500000.0
2024-09-12,5700000.0
2024-09-13,2400000.0
2024-09-14,6100000.0
2024-09-15,4000000.0
2024-09-16,3700000.0
2024-09-17,1100000.0
2024-09-18,7400000.0
2024-09-19,2700000.0
2024-09-20,8000000.0
2024-09-21,3000000.0
2024-09-22,3500000.0
2024-09-23,2300000.0
2024-09-24,4890000.0
2024-09-25,5997000.0
2024-09-26,3450000.0
2024-09-27,7900000.0
2024-09-28,1220000.0
2024-09-29,7200000.0
2024-09-30,6400000.0
2024-10-01,7200000.0
2024-10-02,6400000.0
2024-10-03,5870000.0
2024-10-04,7500000.0
2024-10-05,6000000.0
2024-10-06,4750000.0
2024-10-07,4200000.0
2024-10-08,8500000.0
2024-10-09,7330000.0
2024-10-10,3990000.0
2024-10-11,3500000.0
2024-10-12,2400000.0
2024-10-13,6000000.0
2024-10-14,4600000.0
2024-10-15,3600000.0
2024-10-16,5600000.0
2024-10-17,4600000.0
2024-10-18,7500000.0
2024-10-19,2900000.0
2024-10-20,3700000.0
2024-10-21,3125000.0
2024-10-22,1200000.0
2024-10-23,4200000.0
2024-10-24,5600000.0
2024-10-25,3000000.0
2024-10-26,1500000.0
2024-10-27,6000000.0
2024-10-28,1800000.0
2024-10-29,7330000.0
2024-10-30,5700000.0
2024-10-31,3500000.0
2024-11-01,3200000.0
2024-11-02,4500000.0
2024-11-03,7500000.0
2024-11-04,3100000.0
2024-11-05,3200000.0
2024-11-06,6500000.0
2024-11-07,2700000.0
2024-11-08,5300000.0
2024-11-09,1040000.0
2024-11-10,4000000.0
2024-11-11,2200000.0
2024-11-12,1300000.0
2024-11-13,4900000.0
2024-11-14,5500000.0
2024-11-15,2500000.0
2024-11-16,1200000.0
2024-11-17,5300000.0
2024-11-18,3000000.0
2024-11-19,8400000.0
2024-11-20,3800000.0
2024-11-21,2475000.0
2024-11-22,3200000.0
2024-11-23,3400000.0
2024-11-24,2200000.0
2024-11-25,5200000.0
2024-11-26,6000000.0
2024-11-27,5800000.0
2024-11-28,4800000.0
2024-11-29,4700000.0
2024-11-30,9631000.0
2024-12-01,1000000.0
2024-12-02,7000000.0
2024-12-03,6975000.0
2024-12-04,4800000.0
2024-12-05,6000000.0
2024-12-06,9891000.0
2024-12-07,3333000.0
2024-12-08,3025000.0
2024-12-09,3200000.0
2024-12-10,3750000.0
2024-12-11,3000000.0
2024-12-12,7500000.0
2024-12-13,4500000.0
2024-12-14,4700000.0
2024-12-15,2300000.0
2024-12-16,2600000.0
2024-12-17,2890000.0
2024-12-18,1900000.0
2024-12-19,7500000.0
2024-12-20,6300000.0
2024-12-21,4960000.0
2024-12-22,1700000.0
2024-12-23,3500000.0
2024-12-24,1500000.0
2024-12-25,2800000.0
2024-12-26,4200000.0
2024-12-27,1950000.0
2024-12-28,1400000.0
2024-12-29,3900000.0
2024-12-30,4400000.0
2024-12-31,5800000.0
